Source	Destination	Weight
620	104871	47397
926	5056	1
926	8919	1
926	11546	2
926	21894	2
926	53261	1
926	63132	1
1242	53705	1
1242	86387	1
1242	93386	1
1629	102324	1
2031	114206	1535
2176	46292	1
2176	46303	1
2176	52597	1
2176	66419	1
5056	3432	1
5056	4988	9
5056	5188	2
5056	15715	1
5056	18170	1
5056	20115	3
5056	20238	1
5056	22313	4
5056	26905	1
5056	29388	1
5056	30242	1
5056	39683	2
5056	49196	1
5056	50306	1
5056	51006	6
5056	53705	1
5056	66094	1
5056	66606	1
5056	70816	1
5056	71827	1
5056	75443	6
5056	78226	1
5056	78826	1
5056	79147	1
5056	80893	1
5056	81790	1
5056	82458	1
5056	88327	1
5056	88347	1
5056	91970	1
5056	92286	2
5056	95039	2
5056	97275	1
5056	97458	2
5056	98334	1
5056	104871	1
5056	106587	1
5056	113783	4
7457	34635	1
7457	113783	1
8270	5056	2
8270	9420	1
8270	12780	1
8270	14291	1
8270	15677	1
8270	15984	1
8270	17465	1
8270	17893	2
8270	21850	1
8270	28414	1
8270	29812	1
8270	30814	1
8270	38233	1
8270	53102	1
8270	54097	1
8270	64211	1
8270	64430	1
8270	70434	1
8270	72997	1
8270	73720	2
8270	81790	1
8270	83476	1
8270	101447	1
8270	107646	1
8511	101576	1
8670	26905	1
8670	53705	1
8670	96616	1
8919	5056	2
8919	12780	1
8919	50035	2
8919	51006	1
8919	60815	1
8919	60970	1
8919	65724	16
8919	67009	1
8919	67903	1
8919	78226	13
8919	82477	1
10119	28441	22
10278	29983	2
10509	57641	1
10509	67517	1
10995	5343	1
10995	69289	1
11049	10485	1
11049	33072	1
11049	49630	1
11049	61338	1
11049	86588	1
11049	100566	1
11546	35320	8
11546	78226	1
12592	53261	1
12592	72194	1
13500	53501	1
13744	81784	6
14179	88347	1
14406	25679	1
15971	43263	2
15984	5056	1
15984	34187	1
15984	48060	1
16688	60624	1
16955	70878	3
18258	23738	1
19045	88347	1
19614	29983	1
19614	43263	1
19614	46666	2
19614	52755	1
19614	54201	1
19614	55169	1
19614	61970	4
19614	62470	1
19614	66838	2
19614	69427	1
19614	101576	1
19614	102250	1
19614	105302	1
19614	113489	1
21049	56465	1
21762	70440	1
22803	53705	1
23048	44562	3
23048	75673	2
23048	90375	3
23126	17893	1
23126	53705	1
23549	114351	1
23713	44907	1
23713	70937	1
23713	94248	1
23738	18258	1
24309	103697	1
24356	23713	1
24356	25397	1
24356	57674	1
24356	113520	1
24388	4988	206
24441	24485	10
24485	24441	43
24996	109219	1
25397	44907	1
25397	70937	1
25397	77574	1
25397	94248	1
27375	107081	2
28033	88347	1
28320	14113	1
28320	59299	1
28320	59351	1
28441	3432	1
28441	10119	4
29388	5056	3
29388	64831	1
29388	72047	1
29388	77092	1
30976	30988	3
30988	45727	3
31900	53462	1
32063	113783	1
32212	17893	6
32212	53705	2
32841	91595	1
33050	77574	1
33050	98480	1
34635	10278	1
34901	23549	6
35860	83857	2
35860	88327	1
35974	37724	1
37082	88347	1
37873	83476	2
38571	74430	1
38930	4988	1
39153	17893	1
39153	18170	5
39153	45169	1
39153	50035	1
39153	88347	2
39425	67517	2
39683	5056	1
39683	79054	6
39963	83476	13
40432	39684	1
41085	46303	2
41261	43766	1
42422	69083	9
42549	37873	2
42549	50035	3
42549	82477	46
43263	15971	1
43363	29180	6
43363	86262	1
43363	88347	1
43766	41261	1
44562	23048	1
44562	90375	1
44907	24356	1
45169	83476	1
46292	2176	1
46967	17893	1
47194	96329	1
48060	48755	1
48645	52213	1
48755	48060	1
48842	10056	104
49806	69353	2
49996	23738	4
49996	107414	4
50035	1175	2
50035	12780	2
50035	32238	1
50035	48802	3
50035	59085	2
50035	76068	7
50035	82916	10
50035	86262	2
50790	104480	2
52026	55977	1
52213	53036	1
52597	2176	1
52597	46303	1
52597	107614	1
53102	3454	2
53102	5056	3
53102	9157	2
53102	29388	2
53102	71196	1
53102	77574	1
53154	46303	2
53261	873	6
53261	17893	1
53501	17893	1
53609	83975	1
53609	93082	1
53705	104449	1
54297	114351	1
54309	72682	1
55169	29983	1
55169	101576	1
55614	71628	1
55614	99917	1
55977	52026	1
56465	21049	1
57674	44907	1
57674	70937	1
57674	94248	1
57785	57814	5
57814	57785	5
58778	37724	1
59410	14255	1
59410	36012	1
59410	64849	1
59746	37724	1
60342	60383	1
60386	103831	1
60815	83991	1
60815	102466	1
60871	67357	1
61323	61338	2
61338	5056	1
62685	93381	1
62838	87960	1
62838	103027	1
62838	113356	1
64038	103027	1
64831	29388	2
64996	17893	3
66094	67354	1
66419	2176	1
66933	100812	1
67039	83476	3
67528	109345	1
67745	68753	1
67936	19670	1
68753	67745	1
69083	42422	1
69099	84395	1
69289	10995	25
70359	17893	2
70816	92978	1
70878	16955	2
70937	24356	1
70942	5056	1
71529	96061	1
72047	66606	1
72081	53705	2
72682	54309	6
73010	87838	1
73987	87502	1
74738	88347	1
74993	53261	1
75312	75276	1
75312	107614	1
75443	63743	2
75443	109295	2
75673	23048	3
75673	44562	3
75673	90375	3
76199	78459	6
77252	53501	1
77252	83857	1
77574	83949	3
78226	73720	1
78459	76199	1
79035	79694	1
79054	5056	1
79960	67517	1
79962	5056	4
79962	8270	6
79962	12780	1
79962	15677	16
79962	28320	2
79962	29522	16
79962	30814	1
79962	48842	259
79962	59735	6
79962	60815	5
79962	64996	98
79962	66838	6
79962	73010	4
79962	75443	10
79962	78226	11
79962	80124	6
79962	82916	2
79962	83461	2
79962	87102	10
79962	88897	8
79962	95131	26
80603	96329	1
80893	109659	1
81570	109740	1
82296	53261	4
82458	5056	1
83444	10278	6
83444	101576	2
83461	10278	40
83461	12780	2
83461	17893	3
83461	29983	1
83461	32238	1
83461	41899	1
83461	45169	1
83461	50035	2
83461	51006	6
83461	53705	1
83461	59085	3
83461	61030	3
83461	61970	3
83461	62470	1
83461	75443	2
83461	88347	1
83461	98334	1
83461	101576	34
83461	102466	1
83476	37873	22123
83476	61970	1
83476	101576	2
83857	35860	1
83975	53609	1
83975	93082	1
84395	69099	18
84747	15984	1
84747	41899	1
85665	51006	1
85665	79960	3
85665	94852	2
85665	96550	1
86949	96289	1
87502	73987	10
87502	103027	1
87601	49196	1
87601	53705	1
87601	93330	1
87601	112666	1
87738	65724	1
87838	59594	2
87838	65724	1
87838	73010	1
88160	30269	1
89749	103879	1
89819	104871	2
89953	24750	1
90375	23048	3
90375	44562	2
90375	75673	2
91878	106238	1
91970	101576	1
92286	17893	1
92286	29983	1007
93330	53705	1
93356	18170	1
93356	108000	4
93381	17893	1
93381	62685	1
94248	24356	1
94248	77574	1
94248	96988	1
94852	12592	1
94852	32238	6
94852	50035	1
94852	51006	8
94852	71196	4
94852	78226	1
94852	82916	1
96061	71529	2
96329	47194	1
96550	48060	1
96550	85665	1
96988	94248	1
96988	109345	1
97075	32238	1
97458	5056	1
98744	32238	1
98908	90418	1
98977	81790	1
99434	99454	1
100566	11049	1
100566	34928	1
100566	104480	1
100755	21554	1
100812	5056	30
100812	9420	1
100812	10485	1
100812	10973	1
100812	13612	1
100812	13617	1
100812	13744	1
100812	14839	1
100812	15921	1
100812	15971	1
100812	17192	1
100812	17893	1
100812	18258	1
100812	18543	1
100812	18913	1
100812	19812	1
100812	20251	1
100812	20833	1
100812	20834	1
100812	21625	1
100812	21762	1
100812	21894	1
100812	23126	1
100812	23713	1
100812	23738	1
100812	24356	1
100812	24545	2
100812	24926	1
100812	25397	1
100812	26028	1
100812	26512	1
100812	26749	1
100812	27990	1
100812	28033	1
100812	28320	1
100812	28836	1
100812	29983	1
100812	30778	1
100812	32238	1
100812	32541	2
100812	32862	1
100812	34254	1
100812	35470	1
100812	35781	1
100812	37082	1
100812	37201	1
100812	37724	1
100812	38891	1
100812	39153	1
100812	39683	1
100812	39703	1
100812	39727	1
100812	40089	1
100812	43843	1
100812	44211	1
100812	45235	1
100812	49759	1
100812	50624	1
100812	51054	1
100812	51364	1
100812	52755	1
100812	53337	1
100812	53407	1
100812	53588	1
100812	54406	1
100812	56207	1
100812	56226	1
100812	56234	1
100812	56776	1
100812	57087	1
100812	57156	1
100812	57728	1
100812	58025	1
100812	59299	1
100812	59746	1
100812	62118	1
100812	63001	1
100812	63743	1
100812	65279	1
100812	66391	1
100812	66873	1
100812	66933	1
100812	67285	2
100812	67354	1
100812	67409	1
100812	67431	1
100812	67454	1
100812	67705	1
100812	68247	1
100812	68435	1
100812	68608	1
100812	69083	1
100812	69161	1
100812	69353	1
100812	69552	1
100812	69807	1
100812	70069	1
100812	71307	1
100812	72194	1
100812	73148	1
100812	73720	1
100812	74091	2
100812	75443	1
100812	76199	1
100812	76455	1
100812	77092	1
100812	77574	1
100812	78296	1
100812	82314	1
100812	83319	1
100812	83815	1
100812	83857	2
100812	86709	1
100812	87585	1
100812	88897	1
100812	91931	1
100812	92309	1
100812	92613	1
100812	94248	1
100812	96988	1
100812	97857	1
100812	98480	2
100812	98852	1
100812	99434	2
100812	99482	1
100812	99742	1
100812	99917	1
100812	100172	1
100812	102466	1
100812	103015	1
100812	103027	1
100812	103226	1
100812	103435	2
100812	104017	1
100812	104871	2
100812	105128	1
100812	105323	1
100812	106865	1
100812	107081	1
100812	107550	1
100812	107923	1
100812	108803	1
100812	109665	1
100812	110251	1
100812	113520	1
100812	113801	1
101002	17893	1
101002	24926	1
101002	58025	1
101002	88347	2
101002	93871	2
102324	1629	2
103598	3432	1
103657	30988	2
103657	45727	1
103657	67517	1
103697	24309	10
103697	89819	3
104017	103435	1
104480	48842	2
104480	50790	2
104480	51934	3
104589	91970	1
105344	72682	5
107081	5056	2
107614	46303	1
107614	52597	1
108000	93356	1
109219	24996	1
109335	5056	1
109335	36235	1
109335	53588	1
111400	111401	1
111401	111400	1
111767	29180	1
111883	15715	1
111883	17893	3
111883	32238	5
112491	40094	2
113211	100055	1
113520	44907	1
113520	70937	1
113520	94248	1
113691	66584	1
113812	18913	1
114351	24441	7
